Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
879,1313,498,3871,21150,53246,51427,21280
629,1054,528,572,844,1205,946,766
919,1170,216,499,493,1369,456,930
944,1799,673,700,936,8636,35482,35301
1291,2112,12536,47614,48693,13808,1231,1359
48513,65535,60314,14672,1931,2145,523,997
1113,8819,29491,29912,8562,1644,898,1329
942,1171,816,575,1185,9053,35711,35739
911,1349,598,402,1378,10932,45447,45639
898,1663,693,652,1177,1390,768,1002
1193,11359,53800,65535,65535,17977,1547,930
1184,1475,534,43,1158,7816,31487,31442
750,2641,15780,60131,60251,16399,1179,946
768,1204,820,412,1074,10511,40606,41036
56920,57270,21069,3460,787,1625,826,933
1142,1325,632,271,1569,4796,20857,41233
643,1557,1317,4214,23984,59104,59285,24733
11373,39321,38292,10651,1671,1352,428,1339
1345,1870,5638,19127,38466,38758,19928,6349
52293,59325,45304,28677,7618,1775,336,852
1317,11406,38841,38594,10812,10450,39071,39665
597,1172,536,775,1116,6825,27068,27421
11276,39469,38446,10740,1695,1408,244,979
13946,50388,50237,13858,2146,10844,44929,45076
1020,1076,1171,743,437,1531,889,357
14202,50405,49695,17892,28055,65535,65506,27833
50832,51095,18683,3358,1036,1985,484,903
14498,51734,51351,14151,1768,1040,895,800
44497,45241,16739,2579,773,1245,1155,924
698,1744,5042,19720,51206,65535,65535,25674
467,1401,3545,12510,24642,24623,12581,3969
488,466,584,395,1492,4214,15115,30019
1231,8830,28675,29286,7808,1657,737,1017
708,1995,4800,16355,32028,32319,16475,4886
1057,1626,647,3004,16783,45107,65535,45555
47251,47852,17906,2790,1012,1724,701,1106
11167,40258,39100,10855,1864,1330,741,1174
855,1693,543,646,575,1006,523,770
863,685,661,322,966,9067,37551,37475
45969,45957,17081,2952,1071,2120,362,448
618,1163,763,568,889,3674,14619,28354
684,1718,4294,15761,31063,31354,15930,4985
666,1943,4002,12314,24497,24941,12962,4203
688,1745,5002,16179,33259,34277,16848,5037
692,1219,622,717,1226,3629,15709,30486
1372,10511,37854,37753,10498,1785,351,999
16045,57540,57541,16028,2304,1124,856,1203
808,1350,726,3168,16655,39948,39521,16451
764,840,789,3147,17535,42433,41394,17263
1175,2319,13882,52425,52800,14674,1442,910
908,1552,479,2921,18064,43060,42558,17735
1026,1124,557,715,1336,4790,18335,35822
970,2086,14887,56514,57576,15477,1689,1108
863,1318,1076,4789,25056,62599,61306,25718
61135,61037,22611,3372,915,2015,722,1137
54000,54107,20532,2922,1419,612,578,819
51063,51213,18806,2769,902,1625,442,939
861,1033,908,4491,25264,62430,61710,25216
60128,61076,22543,3458,507,1235,822,1225
59919,61615,22402,3414,1337,1439,600,1067
561,1362,10470,40868,40285,11286,1612,954
1021,10743,39469,39895,10693,2037,646,1642
921,850,753,482,1072,5051,21806,43199
529,1697,12430,45959,46073,12522,1534,653
41223,42911,15685,2617,1269,2017,618,1128
906,2008,13612,51157,52406,13478,1349,1055
11282,41631,41534,11905,2181,1530,680,1111
946,1397,4153,15074,28277,28827,15357,4741
44868,44992,16612,2692,743,2227,427,1049
15673,56278,55376,15042,2093,1230,834,1220
1016,1326,759,4772,27113,65535,65357,26979
845,1043,811,667,979,927,487,1310
43504,43504,16366,2404,915,1893,473,1091
16687,57997,58405,16073,1887,1602,427,1153
11048,40219,39585,11087,1701,1135,709,362
44813,65535,45966,11003,2056,822,489,838
1079,1200,522,689,1373,5399,23062,45352
